x,y,Class_ID,B1,B2,B3,Class,Description
92.09429932,-151.2412109,2,103,104,88,Class_2,Grass
274.0957031,-445.7929077,2,109,105,94,Class_2,Grass
514.1151123,-221.8787231,2,99,106,88,Class_2,Grass
470.0639038,-196.0421753,2,104,105,91,Class_2,Grass
253.2229004,-539.0703125,3,69,95,66,Class_3,Vegitation
650.8804932,-166.02948,1,218,220,206,Class_1,LS Block
225.9614868,-312.7918091,1,146,154,139,Class_1,LS Block
91.32470703,-139.9868164,2,116,119,100,Class_2,Grass
250.795105,-259.0780029,1,184,185,169,Class_1,LS Block
225.2484741,-484.2091064,3,33,35,30,Class_3,Vegitation
118.0661011,-147.7783813,2,111,110,92,Class_2,Grass
75.02032471,-137.2453003,2,100,101,85,Class_2,Grass
227.0438843,-282.2203979,3,62,88,59,Class_3,Vegitation
410.9064941,-7.339477539,1,137,149,137,Class_1,LS Block
106.9733276,-236.0236206,1,126,129,112,Class_1,LS Block
191.2589111,-406.8963013,1,204,212,191,Class_1,LS Block
651.0878906,-187.0228882,1,167,168,152,Class_1,LS Block
481.3532715,-205.9396973,2,115,111,100,Class_2,Grass
99.93389893,-142.7764282,2,111,110,92,Class_2,Grass
247.9127197,-531.8505859,3,45,67,44,Class_3,Vegitation
653.2546997,-288.7808838,1,178,175,168,Class_1,LS Block
280.1599121,-536.4329224,1,194,217,189,Class_1,LS Block
121.0283203,-43.18920898,3,53,82,52,Class_3,Vegitation
137.2156982,-315.1760864,1,159,160,146,Class_1,LS Block
170.8057251,-44.21289063,3,87,130,87,Class_3,Vegitation
403.9658813,-27.80828857,1,194,205,189,Class_1,LS Block
172.9909058,-37.13970947,3,22,63,19,Class_3,Vegitation
653.7770996,-240.9124146,1,143,143,131,Class_1,LS Block
174.0228882,-42.11859131,3,93,139,92,Class_3,Vegitation
267.0620728,-135.8886108,1,185,188,171,Class_1,LS Block
645.3768921,-297.1984863,1,182,183,165,Class_1,LS Block
